"Congress Number","ICPSR ID","C3","State","Party Code","Name","Age","Conservativeness","Establishmentarianism","Freedom Caucus","zCons","zEst"
114,21376,*,"ALABAMA",200,"BYRNE",60,0.559,0.363,"No",0.4775077631314452,0.972879737214863
114,21192,*,"ALABAMA",200,"ROBY",39,0.347,0.699,"No",-0.8934126002993915,2.1890087158709646
114,20301,*,"ALABAMA",200,"ROGERS",57,0.332,0.51,"No",-0.9904116826176108,1.5049361653769076
114,29701,*,"ALABAMA",200,"ADERHOLT",50,0.356,0.672,"No",-0.8352131509084598,2.0912840658003855
114,21193,*,"ALABAMA",200,"BROOKS",61,0.587,-0.156,"Yes",0.6585727167921212,-0.9056052030307229
114,21500,*,"ALABAMA",200,"PALMER",61,0.727,-0.045,"Yes",1.5638974850955036,-0.5038483082961179
114,14066,*,"ALASKA",200,"YOUNG",82,0.279,-0.007,"No",-1.33314177347532,-0.36630991190048734
114,21501,*,"ARIZONA",200,"MCSALLY",49,0.273,0.156,"No",-1.3719414064026076,0.22365742000708594
114,21103,*,"ARIZONA",200,"GOSAR",56,0.573,-0.094,"Yes",0.5680402399617829,-0.6812004510167994
114,29500,*,"ARIZONA",200,"SALMON",57,0.698,-0.226,"Yes",1.3763659259469456,-1.158965406917411
114,21105,*,"ARIZONA",200,"SCHWEIKERT",53,0.654,-0.249,"Yes",1.0918352844801689,-1.2422123310516084
114,20304,*,"ARIZONA",200,"FRANKS",58,0.752,0.18,"Yes",1.7255626222925364,0.3105237756253789
114,21106,*,"ARKANSA",200,"CRAWFORD",49,0.341,0.506,"No",-0.932212233226679,1.4904584394405254
114,21503,*,"ARKANSA",200,"HILL",58,0.499,0.343,"No",0.08951143385856669,0.9004911075329523
114,21108,*,"ARKANSA",200,"WOMACK",58,0.322,0.613,"No",-1.055077737496424,1.8777376082387482
114,21301,*,"ARKANSA",200,"WESTERMAN",47,0.689,-0.361,"No",1.318166476556014,-1.647588657270309
114,21302,*,"CALIFOR",200,"LAMALFA",55,0.572,0.421,"No",0.5615736344739015,1.1828067632924044
114,20903,*,"CALIFOR",200,"MCCLINTOCK",59,0.767,-0.464,"No",1.822561704610756,-2.0203901001321496
114,21305,*,"CALIFOR",200,"COOK",72,0.442,0.215,"No",-0.2790850789506676,0.43720387756872287
114,21109,7110,"CALIFOR",200,"DENHAM",48,0.328,0.164,"No",-1.016278104569136,0.2526128718798503
114,21307,7121,"CALIFOR",200,"VALADAO",38,0.261,0.264,"No",-1.4495406722571833,0.6145560202894044
114,20307,7122,"CALIFOR",200,"NUNES",42,0.461,0.2,"No",-0.1562195746809227,0.3829124053072898
114,20703,7123,"CALIFOR",200,"MCCARTHY",50,0.459,0.246,"No",-0.16915278565668532,0.5494062535756846
114,21505,7125,"CALIFOR",200,"KNIGHT",48,0.463,0.213,"No",-0.14328636370516007,0.42996501460053177
114,29321,7139,"CALIFOR",200,"ROYCE",64,0.686,-0.324,"No",1.2987666600923706,-1.513669692358774
114,29323,7142,"CALIFOR",200,"CALVERT",62,0.349,0.207,"No",-0.8804793893236289,0.40824842569595854
114,21509,7145,"CALIFOR",200,"WALTERS",77,0.426,0.376,"No",-0.3825507667567685,1.019932346508105
114,15621,7148,"CALIFOR",200,"ROHRABAC",68,0.632,-0.355,"No",0.94956996374678,-1.6258720683657357
114,20107,7149,"CALIFOR",200,"ISSA",61,0.511,-0.02,"No",0.16711069971314238,-0.41336252119372935
114,20963,7150,"CALIFOR",200,"HUNTER",38,0.521,0.288,"No",0.2317767545919555,0.7014223759076973
114,21111,*,"COLORAD",200,"TIPTON",58,0.443,0.016,"No",-0.2726184734627863,-0.28306298776628985
114,21510,*,"COLORAD",200,"BUCK",56,0.696,-0.625,"Yes",1.3634327149711831,-2.603118569071532
114,20704,*,"COLORAD",200,"LAMBORN",61,0.69,0.277,"No",1.3246330820438952,0.6616086295826466
114,20906,*,"COLORAD",200,"COFFMAN",60,0.512,-0.125,"No",0.1735773052010237,-0.7934028270237613
114,20110,*,"FLORIDA",200,"MILLER",56,0.632,0.152,"No",0.94956996374678,0.20917969407070378
114,21317,*,"FLORIDA",200,"YOHO",60,0.721,-0.282,"No",1.525097852168216,-1.3616535700267611
114,20111,*,"FLORIDA",200,"CRENSHAW",71,0.338,0.299,"No",-0.951612049690323,0.7412361222327483
114,21318,*,"FLORIDA",200,"DESANTIS",37,0.676,-0.115,"Yes",1.2341006052135577,-0.7572085121828058
114,29331,*,"FLORIDA",200,"MICA",72,0.457,0.146,"No",-0.18208599663244793,0.1874631051661305
114,20909,*,"FLORIDA",200,"POSEY",67,0.489,-0.177,"Yes",0.024845378979753596,-0.9816132641967293
114,21116,4310,"FLORIDA",200,"WEBSTER",66,0.452,0.124,"No",-0.21441902407185448,0.10783561251602862
114,21115,4311,"FLORIDA",200,"NUGENT",64,0.491,0.116,"No",0.037778589955516216,0.07888016064326431
114,20758,4312,"FLORIDA",200,"BILIRAKI",52,0.384,0.114,"No",-0.6541481972477832,0.07164129767507323
114,21401,4313,"FLORIDA",200,"JOLLY",42,0.252,0.126,"No",-1.5077401216481152,0.1150744754842197
114,21117,4315,"FLORIDA",200,"ROSS",55,0.545,0.105,"No",0.3869752863011069,0.03906641431821332
114,20709,4316,"FLORIDA",200,"BUCHANAN",64,0.358,-0.11,"No",-0.8222799399326971,-0.739111354762328
114,20910,4317,"FLORIDA",200,"ROONEY",44,0.473,0.083,"No",-0.07862030882634735,-0.040561078331888566
114,21320,4319,"FLORIDA",200,"CLAWSON",56,0.67,-0.362,"Yes",1.1953009722862697,-1.6512080887544045
114,20316,4325,"FLORIDA",200,"DIAZ-BAL",54,0.284,0.091,"No",-1.3008087460359137,-0.011605626459124255
114,21512,4326,"FLORIDA",200,"CURBELO",35,0.19,0,"No",-1.908669661896756,-0.3409738915118185
114,15634,4327,"FLORIDA",200,"ROS-LEHT",63,0.251,-0.2,"No",-1.5142067271359965,-1.064860188330927
114,21513,*,"GEORGIA",200,"CARTER",58,0.665,0.134,"No",1.1629679448468633,0.14402992735698406
114,20506,*,"GEORGIA",200,"WESTMORE",65,0.677,0.221,"No",1.240567210701439,0.4589204664732962
114,20505,*,"GEORGIA",200,"PRICE",61,0.645,-0.01,"No",1.033635835089237,-0.3771682063527739
114,21122,*,"GEORGIA",200,"WOODALL",45,0.683,-0.276,"No",1.2793668436287269,-1.3399369811221882
114,21123,*,"GEORGIA",200,"SCOTT",70,0.596,0.324,"No",0.716772166183053,0.8317219093351369
114,21323,*,"GEORGIA",200,"COLLINS",49,0.666,0.014,"No",1.1694345503347445,-0.29030185073448095
114,21514,4410,"GEORGIA",200,"HICE",55,0.701,-0.213,"Yes",1.3957657424105896,-1.1119127976241687
114,21515,4411,"GEORGIA",200,"LOUDERMILK",51,0.731,-0.265,"Yes",1.5897639070470289,-1.3001232347971372
114,21516,4412,"GEORGIA",200,"ALLEN",54,0.582,0.384,"No",0.6262396893527146,1.0488877983808693
114,20962,4414,"GEORGIA",200,"GRAVES",45,0.796,-0.146,"No",2.010093263759314,-0.8694108881897675
114,21125,*,"IDAHO",200,"LABRADOR",47,0.735,-0.467,"Yes",1.615630328998554,-2.0312483945844364
114,29910,*,"IDAHO",200,"SIMPSON",65,0.298,0.273,"No",-1.2102762692055753,0.6471309036462644
114,20715,*,"ILLINOI",200,"ROSKAM",54,0.443,0.058,"No",-0.2726184734627863,-0.1310468654342771
114,21518,2110,"ILLINOI",200,"DOLD",46,0.155,-0.095,"No",-2.1350008539726013,-0.6848198825008949
114,21519,2112,"ILLINOI",200,"BOST",54,0.298,0.364,"No",-1.2102762692055753,0.9764991686989585
114,21328,2113,"ILLINOI",200,"DAVIS",45,0.31,0.013,"No",-1.1326770033509996,-0.2939212822185765
114,21129,2114,"ILLINOI",200,"HULTGREN",49,0.516,-0.019,"No",0.19944372715254893,-0.4097430897096338
114,29718,2115,"ILLINOI",200,"SHIMKUS",57,0.377,0.143,"No",-0.6994144356629523,0.17660481071384387
114,21128,2116,"ILLINOI",200,"KINZINGER",37,0.291,0.243,"No",-1.2555425076207445,0.538547959123398
114,20914,2118,"ILLINOI",200,"SCHOCK",34,0.317,0.139,"No",-1.0874107649358304,0.1621270847774618
114,21562,2118,"ILLINOI",200,"LAHOOD",69,0.526,-0.068,"No",0.26410978203136204,-0.5870952324303154
114,21330,*,"INDIANA",200,"WALORSKI",52,0.432,0.517,"No",-0.34375113382948064,1.5302721857655763
114,21100,*,"INDIANA",200,"STUTZMAN",39,0.744,-0.01,"Yes",1.673829778389486,-0.3771682063527739
